"","Doku","","MCI","MID","7.5","2.6","","1.00"
"","Marmoush","","MCI","FWD","7.0","2.2","","1.00"
"","Rodrigo","","MCI","MID","6.5","0","","0.00"
"","Savinho","","MCI","MID","6.5","2.3","","1.00"
"","Reijnders","","MCI","MID","6.0","2.1","","1.00"
"","N.Gonzalez","","MCI","MID","5.5","2","","1.00"
"","Kovačić","","MCI","MID","5.5","2","","1.00"
"","Echeverri","","MCI","MID","5.0","1.5","","1.00"
"","Phillips","","MCI","MID","5.0","1.5","","1.00"
"","Mukasa","","MCI","MID","4.5","1","","1.00"
"","Monga","","MCI","MID","5.0","1.5","","1.00"
"","Haaland","","MCI","FWD","15.5","4","","1.00"
"","Anderson","","MCI","MID","6.5","2.3","","1.00"
"","Rulli","","MCI","GKP","5.0","2.6","","1.00"
"","Tielemans","","MUN","MID","6.0","2.1","","1.00"
"","Andrey Santos","","MUN","MID","5.0","1.5","","1.00"
"","Darlow","","MUN","GKP","4.5","1.4","","0.75"
"","Lammens","","MUN","GKP","5.0","2.6","","1.00"
"","Bayindir","","MUN","GKP","4.5","0","","0.00"
"","Heaton","","MUN","GKP","4.0","0","","0.00"
"","Dorgu","","MUN","MID","6.0","2.1","","1.00"
"","De Ligt","","MUN","DEF","5.0","0","","0.00"
"","Dalot","","MUN","DEF","5.0","2.2","","1.00"
"","Maguire","","MUN","DEF","5.0","2.2","","1.00"
"","Martinez","","MUN","DEF","5.0","2.2","","1.00"
"","Yoro","","MUN","DEF","5.0","2.2","","1.00"
"","Heaven","","MUN","DEF","4.5","1.7","","1.00"
"","Mazraoui","","MUN","DEF","4.5","1.7","","1.00"
"","Shaw","","MUN","DEF","4.5","1.7","","1.00"
"","Amass","","MUN","DEF","4.0","1","","1.00"
"","Fredricson","","MUN","DEF","4.0","1","","1.00"
"","B.Fernandes","","MUN","MID","12.0","4","","1.00"
"","Mbeumo","","MUN","MID","8.0","2.8","","1.00"
"","Cunha","","MUN","MID","8.0","2.8","","1.00"
"","Rashford","","MUN","MID","7.0","2.5","","1.00"
"","Mount","","MUN","MID","5.5","1","","0.50"
"","Amad","","MUN","MID","6.0","2.1","","1.00"
"","Mainoo","","MUN","MID","5.5","2","","1.00"
"","Ugarte","","MUN","MID","5.0","0","","0.00"
"","J.Fletcher","","MUN","MID","5.0","1.5","","1.00"
"","Lacey","","MUN","MID","5.0","1.5","","1.00"
"","Collyer","","MUN","MID","5.0","1.5","","1.00"
"","Bendito Mantato","","MUN","MID","4.5","1","","1.00"
"","Fletcher","","MUN","MID","4.5","1","","1.00"
"","Šeško","","MUN","FWD","7.0","1.7","","0.75"
"","Zirkzee","","MUN","FWD","5.5","1.8","","1.00"
"","Obi","","MUN","FWD","4.5","1","","1.00"
"","Pope","","NEW","GKP","5.0","2.6","","1.00"
"","Gillespie","","NEW","GKP","4.5","1.9","","1.00"
"","Jaouen","","NEW","GKP","4.5","1.9","","1.00"
"","Thiaw","","NEW","DEF","5.0","2.2","","1.00"
